,Player,Nation,Pos,Squad,Age,Born,90s,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
34,Leo Augusto Pereira,br  BRA,"FW,MF",Atl Goianiense,21,2000,12.6,1,22,5,22.7,1.75,0.40,0.05,0.20,18.4,0,0,0,2.2,2.2,0.10,-1.2,-1.2
35,Renato Augusto,br  BRA,MF,Corinthians,33,1988,15.6,1,35,10,28.6,2.25,0.64,0.03,0.10,22.6,1,0,0,1.4,1.4,0.04,-0.4,-0.4
36,Auremir,br  BRA,MF,Goiás,30,1991,16.4,0,7,2,28.6,0.43,0.12,0.00,0.00,20.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5
37,Auro,br  BRA,DF,Santos,26,1996,4.3,0,2,0,0.0,0.47,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
38,Danilo Avelar,br  BRA,DF,América (MG),32,1989,9.6,0,24,5,20.8,2.51,0.52,0.00,0.00,16.5,3,0,0,1.1,1.1,0.04,-1.1,-1.1
39,Felipe Azevedo,br  BRA,"MF,FW",América (MG),35,1987,25.3,4,65,20,30.8,2.57,0.79,0.06,0.20,19.0,0,0,0,4.1,4.1,0.06,-0.1,-0.1
40,Matheus Babi,br  BRA,"FW,MF",Atl Paranaense,24,1997,0.9,0,4,0,0.0,4.24,0.00,0.00,,17.3,0,0,0,1.0,1.0,0.26,-1.0,-1.0
41,Pedro Bahia,br  BRA,MF,Goiás,19,2002,0.3,0,2,0,0.0,6.67,0.00,0.00,,,,0,0,,,,,
42,Fabrício Baiano,br  BRA,"FW,MF",Fortaleza,29,1992,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
43,Fabián Balbuena,py  PAR,DF,Corinthians,30,1991,12.0,3,11,5,45.5,0.92,0.42,0.27,0.60,10.6,0,0,0,1.1,1.1,0.10,+1.9,+1.9
44,Robson Bambu,br  BRA,DF,Corinthians,24,1997,4.4,0,1,0,0.0,0.23,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1
45,Léo Baptistão,br  BRA,"FW,MF",Santos,29,1992,12.6,5,38,12,31.6,3.01,0.95,0.13,0.42,15.9,0,0,0,6.5,6.5,0.17,-1.5,-1.5
46,Gabriel Baralhas,br  BRA,MF,Atl Goianiense,23,1998,24.0,4,47,16,34.0,1.96,0.67,0.09,0.25,21.0,0,0,0,3.4,3.4,0.07,+0.6,+0.6
47,Danilo Barbosa,br  BRA,MF,Botafogo (RJ),25,1996,1.8,0,2,1,50.0,1.08,0.54,0.00,0.00,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
48,Gabriel Barbosa,br  BRA,FW,Flamengo,25,1996,22.7,11,72,23,31.9,3.17,1.01,0.14,0.43,16.2,0,1,3,11.1,8.7,0.12,-0.1,+1.3
49,Lucas Barbosa,br  BRA,"FW,MF",Santos,20,2001,8.6,2,20,6,30.0,2.34,0.70,0.10,0.33,20.7,0,0,0,1.1,1.1,0.06,+0.9,+0.9
50,Danilo Barcelos,br  BRA,"DF,MF",Goiás,30,1991,11.4,0,6,0,0.0,0.52,0.00,0.00,,18.3,3,0,0,0.3,0.3,0.06,-0.3,-0.3
51,Leandro Barcia,uy  URU,FW,Atl Goianiense,29,1992,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
52,Barreto,br  BRA,MF,Botafogo (RJ),26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
53,Fellipe Bastos,br  BRA,MF,Goiás,31,1990,9.6,0,28,9,32.1,2.92,0.94,0.00,0.00,32.2,9,0,0,0.8,0.8,0.03,-0.8,-0.8
54,Ramiro Benetti,br  BRA,"MF,FW",Corinthians,28,1993,6.1,0,4,3,75.0,0.65,0.49,0.00,0.00,23.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
55,Martín Benítez,ar  ARG,MF,América (MG),27,1994,8.4,1,26,10,38.5,3.10,1.19,0.04,0.10,24.7,3,0,1,1.7,0.9,0.04,-0.7,+0.1
56,Bento,br  BRA,GK,Atl Paranaense,22,1999,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
57,Lucas Beraldo,br  BRA,DF,São Paulo,18,2003,1.4,0,1,0,0.0,0.69,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1
58,Eduardo de Biasi,br  BRA,MF,Avaí,25,1997,20.8,1,35,9,25.7,1.68,0.43,0.03,0.11,23.4,1,0,0,2.3,2.3,0.07,-1.3,-1.3
59,Pedro Bicalho,br  BRA,MF,Palmeiras,20,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
60,Raul Bicalho,br  BRA,DF,Corinthians,22,1999,18.7,2,12,4,33.3,0.64,0.21,0.17,0.50,15.7,0,0,0,1.5,1.5,0.15,+0.5,+0.5
61,Guilherme Bissoli,br  BRA,FW,Avaí,24,1998,27.1,14,50,16,32.0,1.84,0.59,0.10,0.31,19.4,2,9,9,11.6,4.5,0.09,+2.4,+0.5
62,Marcelo Boeck,br  BRA,GK,Fortaleza,37,1984,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
63,Ângelo Borges,br  BRA,"FW,MF",Santos,17,2004,17.0,1,28,9,32.1,1.64,0.53,0.04,0.11,20.5,0,0,0,1.6,1.6,0.06,-0.6,-0.6
64,Daniel Borges,br  BRA,DF,Botafogo (RJ),28,1993,20.8,1,12,3,25.0,0.58,0.14,0.08,0.33,29.4,2,0,0,1.1,1.1,0.09,-0.1,-0.1
65,Douglas Borges,br  BRA,GK,Botafogo (RJ),31,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
66,Marllon Borges,br  BRA,DF,Cuiabá,29,1992,33.4,0,23,3,13.0,0.69,0.09,0.00,0.00,11.8,0,0,0,2.4,2.4,0.10,-2.4,-2.4
67,Lucas Braga,br  BRA,"FW,MF",Santos,25,1996,23.1,5,39,18,46.2,1.69,0.78,0.13,0.28,17.7,0,0,0,4.8,4.8,0.12,+0.2,+0.2
68,David Braz,br  BRA,DF,Fluminense,34,1987,7.9,1,7,2,28.6,0.89,0.25,0.14,0.50,19.6,1,0,0,0.5,0.5,0.07,+0.5,+0.5
69,Breno,br  BRA,FW,Palmeiras,26,1996,3.7,1,8,4,50.0,2.19,1.09,0.13,0.25,16.3,0,0,0,1.0,1.0,0.12,0.0,0.0
70,Bressan,br  BRA,DF,Avaí,29,1993,20.6,0,6,0,0.0,0.29,0.00,0.00,,10.4,0,0,0,0.6,0.6,0.09,-0.6,-0.6
71,Emanuel Brítez,ar  ARG,DF,Fortaleza,29,1992,20.0,1,10,2,20.0,0.50,0.10,0.10,0.50,17.7,0,0,0,0.8,0.8,0.08,+0.2,+0.2
72,Bruninho,br  BRA,"MF,FW",Juventude,21,2000,1.3,0,7,0,0.0,5.58,0.00,0.00,,25.6,2,0,0,0.3,0.3,0.05,-0.3,-0.3
73,Bruno,br  BRA,MF,Bragantino,18,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
74,Fabrício Bruno,br  BRA,DF,Flamengo,25,1996,13.0,2,5,2,40.0,0.38,0.15,0.40,1.00,7.6,0,0,0,0.7,0.7,0.14,+1.3,+1.3
75,Ricardo Bueno,br  BRA,FW,Juventude,34,1987,9.0,2,19,5,26.3,2.12,0.56,0.05,0.20,14.9,0,1,2,3.6,2.1,0.11,-1.6,-1.1
76,Vitor Bueno,br  BRA,"MF,FW",Atl Paranaense,27,1994,12.5,4,26,6,23.1,2.08,0.48,0.08,0.33,24.8,5,2,2,3.7,2.2,0.08,+0.3,-0.2
77,Busanello,br  BRA,DF,Juventude,23,1998,3.2,0,5,3,60.0,1.55,0.93,0.00,0.00,20.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
78,Fabricio Bustos,ar  ARG,DF,Internacional,25,1996,29.7,2,18,4,22.2,0.61,0.13,0.11,0.50,18.0,0,0,0,1.5,1.5,0.08,+0.5,+0.5
79,Nahuel Bustos,ar  ARG,FW,São Paulo,23,1998,3.2,1,7,2,28.6,2.22,0.63,0.14,0.50,14.8,0,0,0,1.5,1.5,0.22,-0.5,-0.5
80,Daniel Cabral,br  BRA,FW,Flamengo,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
81,Patric Cabral Lalau,br  BRA,DF,América (MG),32,1989,19.1,0,15,5,33.3,0.79,0.26,0.00,0.00,21.6,1,0,0,0.6,0.6,0.04,-0.6,-0.6
82,Raúl Cáceres,py  PAR,DF,América (MG),30,1991,18.0,1,16,3,18.8,0.89,0.17,0.06,0.33,17.4,0,0,0,1.1,1.1,0.07,-0.1,-0.1
83,Caetano,br  BRA,DF,Goiás,22,1999,24.6,1,5,4,80.0,0.20,0.16,0.20,0.25,10.4,0,0,0,0.5,0.5,0.10,+0.5,+0.5
84,Jonathan Cafu,br  BRA,"DF,MF",Cuiabá,30,1991,6.2,2,9,5,55.6,1.44,0.80,0.22,0.40,12.5,0,0,0,1.4,1.4,0.16,+0.6,+0.6
85,Rodrigo Caio,br  BRA,DF,Flamengo,28,1993,6.5,0,2,1,50.0,0.31,0.15,0.00,0.00,13.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
86,Calebe,br  BRA,"MF,FW",Atlético Mineiro,21,2000,2.9,0,5,2,40.0,1.70,0.68,0.00,0.00,19.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
87,Lucas Calegari,br  BRA,DF,Fluminense,19,2002,7.3,0,3,0,0.0,0.41,0.00,0.00,,27.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
88,Jonathan Calleri,ar  ARG,FW,São Paulo,28,1993,31.3,18,98,38,38.8,3.13,1.21,0.17,0.45,13.0,0,1,2,13.2,11.7,0.12,+4.8,+5.3
89,Guilherme Camacho,br  BRA,MF,Santos,31,1990,18.1,1,10,5,50.0,0.55,0.28,0.10,0.20,25.4,0,0,0,0.3,0.3,0.03,+0.7,+0.7
90,Nathan Camargo,br  BRA,"MF,FW",Bragantino,16,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
91,Camilo,br  BRA,MF,Cuiabá,22,1999,18.5,0,13,2,15.4,0.70,0.11,0.00,0.00,24.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6
92,Camutanga,br  BRA,DF,Atl Goianiense,28,1993,0.8,0,1,0,0.0,1.27,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
93,Luan Cândido,br  BRA,DF,Bragantino,20,2001,29.2,11,64,25,39.1,2.20,0.86,0.14,0.36,22.6,18,2,2,8.4,6.8,0.11,+2.6,+2.2
94,Germán Cano,ar  ARG,FW,Fluminense,33,1988,34.2,26,130,63,48.5,3.80,1.84,0.20,0.41,16.6,1,0,0,18.4,18.4,0.14,+7.6,+7.6
95,Agustín Canobbio,uy  URU,FW,Atl Paranaense,23,1998,15.6,2,24,7,29.2,1.53,0.45,0.08,0.29,20.9,0,0,0,2.0,2.0,0.08,0.0,0.0
96,Víctor Cantillo,co  COL,MF,Corinthians,28,1993,10.2,0,1,0,0.0,0.10,0.00,0.00,,33.2,0,0,0,0.0,0.0,0.01,0.0,0.0
97,Capixaba,br  BRA,"FW,MF",Juventude,25,1997,18.4,1,22,6,27.3,1.20,0.33,0.05,0.17,21.4,0,0,0,1.2,1.2,0.05,-0.2,-0.2
98,Juninho Capixaba,br  BRA,DF,Fortaleza,24,1997,32.3,3,39,10,25.6,1.21,0.31,0.08,0.30,21.3,7,0,0,2.0,2.0,0.05,+1.0,+1.0
99,Gabriel Carabajal,ar  ARG,"MF,FW",Santos,30,1991,5.5,1,9,3,33.3,1.63,0.54,0.11,0.33,23.0,1,0,0,0.3,0.3,0.03,+0.7,+0.7
100,Johnny Cardoso,us  USA,MF,Internacional,20,2001,15.7,3,27,10,37.0,1.72,0.64,0.11,0.30,16.7,0,0,0,2.9,2.9,0.11,+0.1,+0.1
101,Igor Cariús,br  BRA,"DF,MF",Cuiabá,28,1993,12.9,0,9,0,0.0,0.70,0.00,0.00,,21.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3
102,Joel Carli,ar  ARG,DF,Botafogo (RJ),35,1986,4.1,0,3,0,0.0,0.74,0.00,0.00,,12.9,0,0,0,0.4,0.4,0.15,-0.4,-0.4
103,Ed Carlos,br  BRA,MF,Santos,20,2001,2.9,0,1,0,0.0,0.34,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.05,0.0,0.0
104,Jan Carlos Hurtado,ve  VEN,FW,Bragantino,21,2000,5.4,0,13,4,30.8,2.39,0.73,0.00,0.00,14.4,1,0,0,1.2,1.2,0.09,-1.2,-1.2
105,João Carlos,br  BRA,GK,Cuiabá,33,1988,10.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
106,Alan Carvalho,cn  CHN,"FW,MF",Fluminense,32,1989,0.4,1,1,1,100.0,2.50,2.50,1.00,1.00,3.4,0,0,0,0.1,0.1,0.12,+0.9,+0.9
107,Cássio,br  BRA,GK,Corinthians,34,1987,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
108,Luciano Castán,br  BRA,DF,Coritiba,32,1989,35.0,2,11,2,18.2,0.31,0.06,0.18,1.00,10.3,0,0,0,0.9,0.9,0.09,+1.1,+1.1
109,Iury de Castilho,br  BRA,FW,Ceará,26,1995,5.8,0,9,2,22.2,1.55,0.35,0.00,0.00,16.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6
110,Cauã,br  BRA,DF,Juventude,18,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
111,Matheus Cavichioli,br  BRA,GK,América (MG),35,1986,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
112,Brayan Ceballos,co  COL,DF,Fortaleza,20,2001,11.9,0,11,3,27.3,0.92,0.25,0.00,0.00,10.9,0,0,0,1.3,1.3,0.12,-1.3,-1.3
113,Murilo Cerqueira,br  BRA,DF,Palmeiras,24,1997,31.5,5,32,11,34.4,1.02,0.35,0.16,0.45,10.2,0,0,0,3.5,3.5,0.11,+1.5,+1.5
114,Reynaldo Cesar Moraes,br  BRA,DF,Goiás,25,1997,30.5,0,8,2,25.0,0.26,0.07,0.00,0.00,10.7,0,0,0,0.7,0.7,0.09,-0.7,-0.7
115,Jhon Chancellor,ve  VEN,DF,Coritiba,30,1992,13.0,0,10,3,30.0,0.77,0.23,0.00,0.00,9.9,0,0,0,0.9,0.9,0.09,-0.9,-0.9
116,Arthur Chaves,br  BRA,DF,Avaí,21,2001,16.5,1,11,2,18.2,0.67,0.12,0.09,0.50,14.7,1,0,0,1.0,1.0,0.09,0.0,0.0
117,Renato Chaves,br  BRA,DF,Juventude,31,1990,1.8,0,4,2,50.0,2.20,1.10,0.00,0.00,8.6,0,0,0,0.6,0.6,0.14,-0.6,-0.6
118,Chico,br  BRA,"MF,FW",Juventude,30,1991,24.2,1,33,10,30.3,1.36,0.41,0.00,0.00,24.9,8,1,1,2.2,1.4,0.04,-1.2,-1.4
119,Christian,br  BRA,MF,Atl Paranaense,21,2000,4.8,0,9,4,44.4,1.89,0.84,0.00,0.00,21.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5
120,Diego Churín,ar  ARG,FW,Atl Goianiense,32,1989,26.5,7,52,22,42.3,1.96,0.83,0.12,0.27,14.1,1,1,1,6.3,5.5,0.11,+0.7,+0.5
121,Marcelo Cirino,br  BRA,FW,Atl Paranaense,30,1992,5.2,0,6,1,16.7,1.14,0.19,0.00,0.00,17.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
122,Léo Cittadini,br  BRA,"MF,FW",Atl Paranaense,27,1994,8.0,1,11,2,18.2,1.37,0.25,0.09,0.50,19.4,0,0,0,0.8,0.8,0.07,+0.2,+0.2
123,Luccas Claro,br  BRA,DF,Fluminense,30,1991,5.2,0,2,0,0.0,0.39,0.00,0.00,,9.2,0,0,0,0.2,0.2,0.12,-0.2,-0.2
124,Clayton,br  BRA,"FW,MF",Coritiba,23,1999,3.6,0,13,3,23.1,3.57,0.82,0.00,0.00,16.3,0,0,0,1.0,1.0,0.07,-1.0,-1.0
125,Cléber,br  BRA,FW,Ceará,25,1996,10.9,4,37,15,40.5,3.40,1.38,0.11,0.27,13.6,0,0,0,4.8,4.8,0.13,-0.8,-0.8
126,Jean Cléber,br  BRA,MF,Avaí,31,1990,9.6,0,9,1,11.1,0.93,0.10,0.00,0.00,24.2,1,0,0,0.4,0.4,0.05,-0.4,-0.4
127,Cleiton,br  BRA,DF,Flamengo,18,2003,0.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,
128,Andrés Colorado,co  COL,MF,São Paulo,23,1998,3.4,0,1,0,0.0,0.29,0.00,0.00,,12.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
129,Germán Conti,ar  ARG,DF,América (MG),27,1994,18.4,0,16,3,18.8,0.87,0.16,0.00,0.00,11.6,0,0,0,1.1,1.1,0.07,-1.1,-1.1
130,Jonathan Copete,co  COL,FW,Avaí,34,1988,3.1,0,7,2,28.6,2.26,0.65,0.00,0.00,17.1,0,0,0,0.8,0.8,0.12,-0.8,-0.8
131,Bruno Cortez,br  BRA,DF,Avaí,34,1987,27.0,0,9,2,22.2,0.33,0.07,0.00,0.00,21.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4
132,Talles Costa,br  BRA,MF,São Paulo,19,2002,6.1,0,4,1,25.0,0.66,0.16,0.00,0.00,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
133,Lucas Crispim,br  BRA,"DF,MF",Fortaleza,27,1994,13.0,1,12,1,8.3,0.92,0.08,0.08,1.00,29.0,3,0,0,0.4,0.4,0.03,+0.6,+0.6
134,Daniel Cruz,br  BRA,"FW,DF",Botafogo (RJ),20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
135,Tomás Cuello,ar  ARG,FW,Atl Paranaense,21,2000,18.0,2,50,11,22.0,2.78,0.61,0.04,0.18,24.1,3,0,0,2.3,2.3,0.05,-0.3,-0.3
136,Víctor Cuesta,ar  ARG,DF,Botafogo (RJ),33,1988,28.5,4,22,9,40.9,0.77,0.32,0.18,0.44,11.1,1,0,0,2.0,2.0,0.09,+2.0,+2.0
137,Andrés D'Alessandro,ar  ARG,FW,Internacional,40,1981,0.8,1,1,1,100.0,1.27,1.27,1.00,1.00,15.8,0,0,0,0.1,0.1,0.07,+0.9,+0.9
138,Adailson Dadá,br  BRA,"MF,FW",Goiás,24,1997,27.9,2,48,11,22.9,1.72,0.39,0.04,0.18,23.1,4,0,0,2.6,2.6,0.05,-0.6,-0.6
139,Daniel,br  BRA,GK,Internacional,27,1994,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
140,Kayke David,br  BRA,"FW,MF",Flamengo,19,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
141,Giorgian De Arrascaeta,uy  URU,MF,Flamengo,27,1994,16.4,3,52,16,30.8,3.17,0.97,0.06,0.19,17.6,6,0,0,6.9,6.9,0.13,-3.9,-3.9
142,Romildo Del Piage,br  BRA,MF,Botafogo (RJ),21,2000,5.7,1,10,2,20.0,1.77,0.35,0.10,0.50,25.0,0,0,0,0.5,0.5,0.05,+0.5,+0.5
143,Denilson,br  BRA,MF,Cuiabá,20,2001,7.8,0,8,0,0.0,1.03,0.00,0.00,,27.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
144,Valentín Depietri,ar  ARG,"FW,MF",Fortaleza,21,2000,2.6,0,6,1,16.7,2.31,0.38,0.00,0.00,18.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
145,Deyverson,br  BRA,FW,Cuiabá,30,1991,14.1,6,35,16,45.7,2.48,1.13,0.11,0.25,15.8,1,2,3,5.8,3.5,0.10,+0.2,+0.5
146,Luan Dias,br  BRA,"MF,FW",Goiás,24,1997,8.6,0,7,3,42.9,0.82,0.35,0.00,0.00,27.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
147,Matheus Dias,br  BRA,MF,Internacional,24,1997,1.2,0,1,1,100.0,0.83,0.83,0.00,0.00,23.9,0,0,0,0.0,0.0,0.05,0.0,0.0
148,Juan Díaz,co  COL,MF,Coritiba,20,2001,1.5,0,1,0,0.0,0.66,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.12,-0.1,-0.1
149,Dieguinho,br  BRA,"MF,DF",Goiás,26,1995,32.1,2,28,4,14.3,0.87,0.12,0.07,0.50,24.2,0,0,0,1.6,1.6,0.06,+0.4,+0.4
150,Dodô,br  BRA,DF,Atlético Mineiro,29,1992,10.1,1,10,2,20.0,0.99,0.20,0.10,0.50,20.1,0,0,0,0.6,0.6,0.06,+0.4,+0.4
