,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,TO_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,TO_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
28,Michel Araujo,uy  URU,"FW,MF",Fluminense,25,1996,0.9,7,7.50,4,1,1,0,1,0,3,3.21,2,1,0,0,0,0
29,Robert Arboleda,ec  ECU,DF,São Paulo,30,1991,8.0,7,0.87,3,1,0,2,1,0,1,0.12,1,0,0,0,0,0
30,Jhon Arias,co  COL,"FW,MF",Fluminense,24,1997,29.6,144,4.87,93,30,8,3,9,1,13,0.44,7,4,1,1,0,0
31,Artur,br  BRA,"FW,MF",Bragantino,23,1998,31.0,162,5.23,102,27,9,13,10,1,13,0.42,6,2,1,2,2,0
32,Eduard Atuesta,co  COL,MF,Palmeiras,24,1997,7.3,29,3.95,19,3,4,3,0,0,1,0.14,1,0,0,0,0,0
33,Felipe Augusto,br  BRA,FW,Corinthians,17,2004,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
34,Leo Augusto Pereira,br  BRA,"FW,MF",Atl Goianiense,21,2000,12.6,18,1.42,13,0,3,1,1,0,1,0.08,1,0,0,0,0,0
35,Renato Augusto,br  BRA,MF,Corinthians,33,1988,15.6,82,5.26,58,14,4,3,3,0,6,0.39,5,1,0,0,0,0
36,Auremir,br  BRA,MF,Goiás,30,1991,16.4,17,1.04,11,0,1,0,5,0,0,0.00,0,0,0,0,0,0
37,Auro,br  BRA,DF,Santos,26,1996,4.3,11,2.55,9,0,1,1,0,0,1,0.23,1,0,0,0,0,0
38,Danilo Avelar,br  BRA,DF,América (MG),32,1989,9.6,18,1.88,13,2,0,0,1,2,2,0.21,2,0,0,0,0,0
39,Felipe Azevedo,br  BRA,"MF,FW",América (MG),35,1987,25.3,80,3.17,63,9,4,2,1,1,2,0.08,2,0,0,0,0,0
40,Matheus Babi,br  BRA,"FW,MF",Atl Paranaense,24,1997,0.9,4,4.24,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Pedro Bahia,br  BRA,MF,Goiás,19,2002,0.3,,,,,,,,,,,,,,,,
42,Fabrício Baiano,br  BRA,"FW,MF",Fortaleza,29,1992,0.6,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
43,Fabián Balbuena,py  PAR,DF,Corinthians,30,1991,12.0,7,0.58,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0
44,Robson Bambu,br  BRA,DF,Corinthians,24,1997,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
45,Léo Baptistão,br  BRA,"FW,MF",Santos,29,1992,12.6,33,2.61,18,0,5,6,3,1,4,0.32,1,0,2,1,0,0
46,Gabriel Baralhas,br  BRA,MF,Atl Goianiense,23,1998,24.0,59,2.46,47,0,4,2,3,3,5,0.21,4,0,0,0,1,0
47,Danilo Barbosa,br  BRA,MF,Botafogo (RJ),25,1996,1.8,9,4.88,6,0,1,1,0,1,0,0.00,0,0,0,0,0,0
48,Gabriel Barbosa,br  BRA,FW,Flamengo,25,1996,22.7,68,2.99,53,3,2,6,4,0,6,0.26,4,0,1,1,0,0
49,Lucas Barbosa,br  BRA,"FW,MF",Santos,20,2001,8.6,22,2.56,22,0,0,0,0,0,2,0.23,2,0,0,0,0,0
50,Danilo Barcelos,br  BRA,"DF,MF",Goiás,30,1991,11.4,22,1.92,8,12,0,2,0,0,3,0.26,2,1,0,0,0,0
51,Leandro Barcia,uy  URU,FW,Atl Goianiense,29,1992,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
52,Barreto,br  BRA,MF,Botafogo (RJ),26,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
53,Fellipe Bastos,br  BRA,MF,Goiás,31,1990,9.6,53,5.52,32,12,3,4,1,1,5,0.52,4,0,0,1,0,0
54,Ramiro Benetti,br  BRA,"MF,FW",Corinthians,28,1993,6.1,14,2.28,13,0,0,0,1,0,3,0.49,2,0,0,0,1,0
55,Martín Benítez,ar  ARG,MF,América (MG),27,1994,8.4,57,6.80,34,15,2,4,1,1,6,0.72,4,2,0,0,0,0
56,Bento,br  BRA,GK,Atl Paranaense,22,1999,33.0,6,0.18,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0
57,Lucas Beraldo,br  BRA,DF,São Paulo,18,2003,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
58,Eduardo de Biasi,br  BRA,MF,Avaí,25,1997,20.8,43,2.07,34,0,4,2,3,0,4,0.19,3,0,0,1,0,0
59,Pedro Bicalho,br  BRA,MF,Palmeiras,20,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
60,Raul Bicalho,br  BRA,DF,Corinthians,22,1999,18.7,8,0.43,6,0,0,1,1,0,1,0.05,0,0,0,1,0,0
61,Guilherme Bissoli,br  BRA,FW,Avaí,24,1998,27.1,45,1.66,35,0,1,5,4,0,2,0.07,0,0,0,1,1,0
62,Marcelo Boeck,br  BRA,GK,Fortaleza,37,1984,13.0,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
63,Ângelo Borges,br  BRA,"FW,MF",Santos,17,2004,17.0,84,4.94,49,1,21,3,9,1,11,0.65,7,0,1,0,3,0
64,Daniel Borges,br  BRA,DF,Botafogo (RJ),28,1993,20.8,51,2.46,26,23,0,1,0,1,3,0.14,1,2,0,0,0,0
65,Douglas Borges,br  BRA,GK,Botafogo (RJ),31,1990,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
66,Marllon Borges,br  BRA,DF,Cuiabá,29,1992,33.4,11,0.33,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0
67,Lucas Braga,br  BRA,"FW,MF",Santos,25,1996,23.1,66,2.86,45,2,11,1,7,0,4,0.17,3,0,0,0,1,0
68,David Braz,br  BRA,DF,Fluminense,34,1987,7.9,5,0.62,4,0,0,1,0,0,1,0.12,1,0,0,0,0,0
69,Breno,br  BRA,FW,Palmeiras,26,1996,3.7,16,4.36,13,0,0,1,2,0,4,1.09,3,0,0,0,1,0
70,Bressan,br  BRA,DF,Avaí,29,1993,20.6,9,0.44,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
71,Emanuel Brítez,ar  ARG,DF,Fortaleza,29,1992,20.0,20,1.00,11,8,0,0,1,0,3,0.15,0,2,0,0,1,0
72,Bruninho,br  BRA,"MF,FW",Juventude,21,2000,1.3,2,1.59,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0
73,Bruno,br  BRA,MF,Bragantino,18,2003,0.4,1,2.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Fabrício Bruno,br  BRA,DF,Flamengo,25,1996,13.0,5,0.38,4,1,0,0,0,0,2,0.15,2,0,0,0,0,0
75,Ricardo Bueno,br  BRA,FW,Juventude,34,1987,9.0,18,2.01,12,0,0,3,2,1,2,0.22,1,0,0,0,1,0
76,Vitor Bueno,br  BRA,"MF,FW",Atl Paranaense,27,1994,12.5,36,2.89,26,1,2,2,3,2,4,0.32,2,0,1,1,0,0
77,Busanello,br  BRA,DF,Juventude,23,1998,3.2,5,1.55,3,2,0,0,0,0,2,0.62,1,1,0,0,0,0
78,Fabricio Bustos,ar  ARG,DF,Internacional,25,1996,29.7,63,2.12,57,4,1,1,0,0,8,0.27,7,1,0,0,0,0
79,Nahuel Bustos,ar  ARG,FW,São Paulo,23,1998,3.2,5,1.58,2,0,1,1,1,0,0,0.00,0,0,0,0,0,0
80,Daniel Cabral,br  BRA,FW,Flamengo,19,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
81,Patric Cabral Lalau,br  BRA,DF,América (MG),32,1989,19.1,64,3.35,43,18,1,1,1,0,1,0.05,1,0,0,0,0,0
82,Raúl Cáceres,py  PAR,DF,América (MG),30,1991,18.0,53,2.95,38,11,0,3,0,1,4,0.22,4,0,0,0,0,0
83,Caetano,br  BRA,DF,Goiás,22,1999,24.6,20,0.81,15,1,0,1,0,3,1,0.04,1,0,0,0,0,0
84,Jonathan Cafu,br  BRA,"DF,MF",Cuiabá,30,1991,6.2,17,2.73,14,0,1,2,0,0,4,0.64,2,0,1,1,0,0
85,Rodrigo Caio,br  BRA,DF,Flamengo,28,1993,6.5,2,0.31,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
86,Calebe,br  BRA,"MF,FW",Atlético Mineiro,21,2000,2.9,10,3.41,8,0,0,1,0,1,0,0.00,0,0,0,0,0,0
87,Lucas Calegari,br  BRA,DF,Fluminense,19,2002,7.3,16,2.19,14,0,0,0,2,0,1,0.14,1,0,0,0,0,0
88,Jonathan Calleri,ar  ARG,FW,São Paulo,28,1993,31.3,72,2.30,44,0,5,11,11,1,4,0.13,2,0,1,1,0,0
89,Guilherme Camacho,br  BRA,MF,Santos,31,1990,18.1,35,1.93,33,1,0,1,0,0,3,0.17,3,0,0,0,0,0
90,Nathan Camargo,br  BRA,"MF,FW",Bragantino,16,2005,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
91,Camilo,br  BRA,MF,Cuiabá,22,1999,18.5,21,1.14,19,0,0,1,1,0,0,0.00,0,0,0,0,0,0
92,Camutanga,br  BRA,DF,Atl Goianiense,28,1993,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
93,Luan Cândido,br  BRA,DF,Bragantino,20,2001,29.2,47,1.61,34,7,0,4,2,0,5,0.17,4,0,0,1,0,0
94,Germán Cano,ar  ARG,FW,Fluminense,33,1988,34.2,53,1.55,39,0,3,7,4,0,5,0.15,4,0,0,0,1,0
95,Agustín Canobbio,uy  URU,FW,Atl Paranaense,23,1998,15.6,42,2.69,29,5,3,3,2,0,1,0.06,0,0,0,0,1,0
96,Víctor Cantillo,co  COL,MF,Corinthians,28,1993,10.2,19,1.87,13,5,0,0,0,1,1,0.10,1,0,0,0,0,0
97,Capixaba,br  BRA,"FW,MF",Juventude,25,1997,18.4,34,1.85,22,3,4,2,3,0,1,0.05,1,0,0,0,0,0
98,Juninho Capixaba,br  BRA,DF,Fortaleza,24,1997,32.3,104,3.22,65,20,6,4,7,2,8,0.25,7,0,0,1,0,0
99,Gabriel Carabajal,ar  ARG,"MF,FW",Santos,30,1991,5.5,15,2.72,7,7,0,1,0,0,1,0.18,1,0,0,0,0,0
100,Johnny Cardoso,us  USA,MF,Internacional,20,2001,15.7,41,2.62,34,0,1,2,2,2,2,0.13,1,0,0,1,0,0
101,Igor Cariús,br  BRA,"DF,MF",Cuiabá,28,1993,12.9,24,1.86,18,2,0,1,1,2,1,0.08,1,0,0,0,0,0
102,Joel Carli,ar  ARG,DF,Botafogo (RJ),35,1986,4.1,4,0.98,4,0,0,0,0,0,1,0.25,1,0,0,0,0,0
103,Ed Carlos,br  BRA,MF,Santos,20,2001,2.9,8,2.77,7,1,0,0,0,0,2,0.69,2,0,0,0,0,0
104,Jan Carlos Hurtado,ve  VEN,FW,Bragantino,21,2000,5.4,11,2.02,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0
105,João Carlos,br  BRA,GK,Cuiabá,33,1988,10.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
106,Alan Carvalho,cn  CHN,"FW,MF",Fluminense,32,1989,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
107,Cássio,br  BRA,GK,Corinthians,34,1987,34.0,1,0.03,1,0,0,0,0,0,1,0.03,1,0,0,0,0,0
108,Luciano Castán,br  BRA,DF,Coritiba,32,1989,35.0,20,0.57,17,1,0,2,0,0,1,0.03,1,0,0,0,0,0
109,Iury de Castilho,br  BRA,FW,Ceará,26,1995,5.8,18,3.11,11,0,1,3,3,0,2,0.35,1,0,0,0,1,0
110,Cauã,br  BRA,DF,Juventude,18,2003,0.5,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
111,Matheus Cavichioli,br  BRA,GK,América (MG),35,1986,25.0,2,0.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
112,Brayan Ceballos,co  COL,DF,Fortaleza,20,2001,11.9,11,0.92,8,0,0,1,0,2,0,0.00,0,0,0,0,0,0
113,Murilo Cerqueira,br  BRA,DF,Palmeiras,24,1997,31.5,36,1.14,34,0,0,2,0,0,2,0.06,2,0,0,0,0,0
114,Reynaldo Cesar Moraes,br  BRA,DF,Goiás,25,1997,30.5,11,0.36,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0
115,Jhon Chancellor,ve  VEN,DF,Coritiba,30,1992,13.0,6,0.46,5,0,0,1,0,0,1,0.08,1,0,0,0,0,0
116,Arthur Chaves,br  BRA,DF,Avaí,21,2001,16.5,4,0.24,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0
117,Renato Chaves,br  BRA,DF,Juventude,31,1990,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
118,Chico,br  BRA,"MF,FW",Juventude,30,1991,24.2,93,3.84,51,27,1,3,7,4,5,0.21,4,0,0,0,1,0
119,Christian,br  BRA,MF,Atl Paranaense,21,2000,4.8,12,2.52,9,0,1,1,0,1,0,0.00,0,0,0,0,0,0
120,Diego Churín,ar  ARG,FW,Atl Goianiense,32,1989,26.5,63,2.37,48,1,1,6,7,0,8,0.30,8,0,0,0,0,0
121,Marcelo Cirino,br  BRA,FW,Atl Paranaense,30,1992,5.2,11,2.10,9,0,1,0,1,0,2,0.38,1,0,0,0,1,0
122,Léo Cittadini,br  BRA,"MF,FW",Atl Paranaense,27,1994,8.0,15,1.87,14,0,0,0,1,0,2,0.25,2,0,0,0,0,0
123,Luccas Claro,br  BRA,DF,Fluminense,30,1991,5.2,2,0.39,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
124,Clayton,br  BRA,"FW,MF",Coritiba,23,1999,3.6,18,4.95,12,0,1,1,4,0,0,0.00,0,0,0,0,0,0
125,Cléber,br  BRA,FW,Ceará,25,1996,10.9,29,2.67,26,0,0,3,0,0,1,0.09,1,0,0,0,0,0
126,Jean Cléber,br  BRA,MF,Avaí,31,1990,9.6,32,3.33,26,0,2,0,2,2,1,0.10,1,0,0,0,0,0
127,Cleiton,br  BRA,DF,Flamengo,18,2003,0.0,,,,,,,,,,,,,,,,
128,Andrés Colorado,co  COL,MF,São Paulo,23,1998,3.4,8,2.34,8,0,0,0,0,0,1,0.29,1,0,0,0,0,0
129,Germán Conti,ar  ARG,DF,América (MG),27,1994,18.4,13,0.71,10,0,0,2,0,1,0,0.00,0,0,0,0,0,0
130,Jonathan Copete,co  COL,FW,Avaí,34,1988,3.1,7,2.26,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0
131,Bruno Cortez,br  BRA,DF,Avaí,34,1987,27.0,37,1.37,27,3,2,1,4,0,2,0.07,2,0,0,0,0,0
132,Talles Costa,br  BRA,MF,São Paulo,19,2002,6.1,14,2.31,9,1,0,0,2,2,4,0.66,2,0,0,0,1,1
133,Lucas Crispim,br  BRA,"DF,MF",Fortaleza,27,1994,13.0,52,4.00,29,18,1,1,1,2,3,0.23,2,1,0,0,0,0
134,Daniel Cruz,br  BRA,"FW,DF",Botafogo (RJ),20,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
135,Tomás Cuello,ar  ARG,FW,Atl Paranaense,21,2000,18.0,75,4.18,54,6,7,4,2,2,7,0.39,6,1,0,0,0,0
136,Víctor Cuesta,ar  ARG,DF,Botafogo (RJ),33,1988,28.5,26,0.91,17,2,0,4,2,1,4,0.14,2,0,0,1,1,0
137,Andrés D'Alessandro,ar  ARG,FW,Internacional,40,1981,0.8,5,6.34,2,2,1,0,0,0,1,1.27,0,0,1,0,0,0
138,Adailson Dadá,br  BRA,"MF,FW",Goiás,24,1997,27.9,72,2.58,38,14,4,3,13,0,10,0.36,6,2,0,2,0,0
139,Daniel,br  BRA,GK,Internacional,27,1994,23.0,3,0.13,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
140,Kayke David,br  BRA,"FW,MF",Flamengo,19,2003,0.3,2,6.92,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
141,Giorgian De Arrascaeta,uy  URU,MF,Flamengo,27,1994,16.4,113,6.88,69,20,6,10,6,2,14,0.85,9,4,0,1,0,0
142,Romildo Del Piage,br  BRA,MF,Botafogo (RJ),21,2000,5.7,17,3.01,11,0,0,2,4,0,2,0.35,1,0,0,0,1,0
143,Denilson,br  BRA,MF,Cuiabá,20,2001,7.8,19,2.44,17,0,0,0,2,0,0,0.00,0,0,0,0,0,0
144,Valentín Depietri,ar  ARG,"FW,MF",Fortaleza,21,2000,2.6,8,3.08,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
145,Deyverson,br  BRA,FW,Cuiabá,30,1991,14.1,38,2.70,28,0,2,5,3,0,2,0.14,1,0,1,0,0,0
146,Luan Dias,br  BRA,"MF,FW",Goiás,24,1997,8.6,26,3.04,23,1,1,1,0,0,2,0.23,2,0,0,0,0,0
147,Matheus Dias,br  BRA,MF,Internacional,24,1997,1.2,3,2.50,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
148,Juan Díaz,co  COL,MF,Coritiba,20,2001,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
149,Dieguinho,br  BRA,"MF,DF",Goiás,26,1995,32.1,73,2.27,50,4,7,4,5,3,10,0.31,8,0,0,0,1,1
150,Dodô,br  BRA,DF,Atlético Mineiro,29,1992,10.1,23,2.29,20,0,1,1,1,0,0,0.00,0,0,0,0,0,0
151,Matheus Donelli,br  BRA,GK,Corinthians,19,2002,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
152,Renan dos Santos,br  BRA,GK,Atl Goianiense,32,1989,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
153,Douglas,br  BRA,DF,Bragantino,33,1988,0.8,,,,,,,,,,,,,,,,
154,Rodrigo Dourado,br  BRA,MF,Internacional,27,1994,5.0,4,0.80,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
155,David Duarte,br  BRA,DF,Fluminense,27,1995,0.9,1,1.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
156,Pablo Dyego,br  BRA,FW,Avaí,27,1994,5.4,11,2.05,6,0,1,2,2,0,2,0.37,0,0,0,1,1,0
157,Edenílson,br  BRA,MF,Internacional,32,1989,24.3,80,3.30,55,14,3,5,1,2,9,0.37,4,0,1,2,1,1
158,Eder,br  BRA,DF,América (MG),26,1995,32.7,17,0.52,14,2,0,0,0,1,2,0.06,2,0,0,0,0,0
159,Éder,it  ITA,"FW,MF",São Paulo,35,1986,7.4,13,1.76,9,1,0,1,2,0,2,0.27,1,0,0,0,1,0
160,Edinho,br  BRA,MF,Juventude,27,1994,4.1,,,,,,,,,,,,,,,,
161,Elton,br  BRA,MF,Juventude,31,1990,12.9,23,1.78,19,0,0,2,0,2,1,0.08,1,0,0,0,0,0
162,Leandro Emmanuel Martínez,ar  ARG,MF,América (MG),27,1994,2.9,16,5.54,7,5,0,3,0,1,0,0.00,0,0,0,0,0,0
163,Alan Empereur,br  BRA,DF,Cuiabá,27,1994,24.7,14,0.57,13,0,0,1,0,0,1,0.04,1,0,0,0,0,0
164,Endrick,br  BRA,FW,Palmeiras,15,2006,3.4,12,3.52,7,0,2,1,1,1,0,0.00,0,0,0,0,0,0
165,Erison,br  BRA,FW,Botafogo (RJ),22,1999,16.5,40,2.43,25,1,6,4,4,0,6,0.36,3,0,0,2,1,0
166,Estevão,br  BRA,"FW,MF",Internacional,19,2002,1.2,5,4.21,5,0,0,0,0,0,1,0.84,1,0,0,0,0,0
167,Lucas Evangelista,br  BRA,MF,Bragantino,26,1995,29.0,87,3.00,74,0,0,7,6,0,5,0.17,3,0,0,1,1,0
168,Everaldo,br  BRA,"MF,FW",América (MG),27,1994,21.0,93,4.42,71,6,5,6,5,0,6,0.29,3,0,0,3,0,0
169,Éverson,br  BRA,GK,Atlético Mineiro,31,1990,37.0,6,0.16,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
170,Éverton,br  BRA,"MF,FW",Cuiabá,33,1988,4.4,9,2.01,5,0,0,0,4,0,1,0.22,0,0,0,0,1,0
171,Fabinho,br  BRA,MF,Palmeiras,19,2002,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
172,Fabrício,br  BRA,"FW,MF",Coritiba,24,1997,16.7,59,3.54,40,0,5,7,6,1,5,0.30,4,0,1,0,0,0
173,Fagner,br  BRA,DF,Corinthians,32,1989,10.0,17,1.69,12,5,0,0,0,0,1,0.10,0,1,0,0,0,0
174,Willian Farias,br  BRA,MF,Coritiba,32,1989,17.7,36,2.03,31,0,2,0,2,1,3,0.17,3,0,0,0,0,0
175,Lucas Fasson,br  BRA,DF,Atl Paranaense,20,2001,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
176,Felipe,br  BRA,MF,Fortaleza,27,1994,9.8,21,2.15,18,0,0,1,1,1,3,0.31,2,0,0,0,0,1
177,Luis Felipe,br  BRA,DF,Santos,28,1993,10.9,,,,,,,,,,,,,,,,
178,Matheus Felipe,br  BRA,DF,Atl Paranaense,23,1998,19.8,20,1.01,16,2,0,2,0,0,1,0.05,1,0,0,0,0,0
179,Lucas Fernandes,br  BRA,MF,Botafogo (RJ),24,1997,18.6,73,3.92,46,15,4,4,2,2,3,0.16,1,2,0,0,0,0
180,Matheus Fernandes,br  BRA,MF,Atl Paranaense,23,1998,7.6,18,2.36,14,0,2,2,0,0,1,0.13,0,0,0,1,0,0
181,Gatito Fernández,py  PAR,GK,Botafogo (RJ),33,1988,31.2,3,0.10,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
182,Ignacio Fernández,ar  ARG,MF,Atlético Mineiro,32,1990,24.7,127,5.15,67,44,2,5,9,0,11,0.45,5,2,1,2,1,0
183,Rodrigo Fernández,uy  URU,MF,Santos,26,1996,25.7,45,1.76,36,1,3,1,0,4,2,0.08,2,0,0,0,0,0
184,Fernandinho,br  BRA,MF,Atl Paranaense,36,1985,10.8,40,3.72,35,2,1,0,1,1,2,0.19,2,0,0,0,0,0
185,Derick Fernando,br  BRA,DF,Santos,19,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
186,Luiz Fernando,br  BRA,"FW,MF",Atl Goianiense,25,1996,19.4,55,2.84,45,1,3,4,2,0,5,0.26,5,0,0,0,0,0
187,Nahuel Ferraresi,ve  VEN,DF,São Paulo,23,1998,7.9,8,1.01,7,0,0,1,0,0,1,0.13,1,0,0,0,0,0
188,Luiz Filipe,br  BRA,"MF,FW",Goiás,20,2001,0.4,2,5.63,1,0,0,0,1,0,1,2.81,0,0,0,0,1,0
189,Flávio,br  BRA,MF,América (MG),21,2000,0.3,2,6.67,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
190,Rafael Forster,br  BRA,DF,Juventude,31,1990,18.1,16,0.88,11,2,2,0,0,1,0,0.00,0,0,0,0,0,0
191,Matheus França,br  BRA,"FW,MF",Flamengo,17,2004,7.5,19,2.54,17,0,2,0,0,0,1,0.13,1,0,0,0,0,0
