,Id,Name,Age,Nationality,Club,Value,Wage,Overall,Potential,International Reputation,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,Likes,Dislikes,Following,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Release Clause,ID,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB
10,20801,C. Ronaldo dos Santos Aveiro,35,Portugal,Juventus,€63M,€220K,92,92,5 ★,LS,7,"Jul 10, 2018",2022,6'2,183lbs,1040,344,1036,84,95,90,82,86,88,81,76,77,92,87,91,87,95,71,94,95,84,78,93,63,29,95,82,84,95,28,32,24,7,11,15,14,11,Right,4 ★,5 ★,High/ Low,Unique,Yes,€104M,20801,91+1,91+1,91+1,89+0,91+0,91+0,91+0,89+0,88+3,88+3,88+3,88+3,81+3,81+3,81+3,88+3,65+3,61+3,61+3,61+3,65+3,61+3,54+3,54+3,54+3,61+3
11,244892,Sofiane Diop,20,France,AS Monaco,€12.5M,€31K,75,84,1 ★,LM,37,"Jul 1, 2018",2023,5'9,143lbs,57,7,374,65,66,39,75,53,81,73,58,63,79,77,74,83,73,86,72,53,74,36,68,63,50,71,76,55,76,38,52,34,14,13,8,9,9,Right,3 ★,4 ★,High/ High,Lean (170-185),No,€26.3M,244892,67+2,67+2,67+2,74+0,74+0,74+0,74+0,74+0,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,62+2,60+2,60+2,60+2,62+2,59+2,50+2,50+2,50+2,59+2
12,237692,Phil Foden,20,England,Manchester City,€56.5M,€95K,81,91,1 ★,CAM,47,"Jul 1, 2016",2024,5'7,152lbs,408,32,1656,73,77,47,84,59,82,72,59,77,85,79,76,87,79,89,72,49,76,44,70,64,59,79,79,64,80,58,59,47,8,15,6,10,13,Left,3 ★,4 ★,High/ Medium,Lean (170-185),Yes,€115.8M,237692,73+2,73+2,73+2,80+0,79+0,79+0,79+0,80+0,81+2,81+2,81+2,80+2,78+2,78+2,78+2,80+2,70+2,69+2,69+2,69+2,70+2,67+2,59+2,59+2,59+2,67+2
13,233049,Jadon Sancho,20,England,Borussia Dortmund,€105.5M,€76K,86,92,3 ★,RW,11,"Aug 31, 2017",2023,5'11,168lbs,688,76,1893,82,80,38,86,83,91,84,65,67,90,85,81,91,85,90,72,51,77,67,63,44,39,82,87,62,84,32,41,32,7,11,10,11,13,Right,3 ★,5 ★,High/ Medium,Normal (170-185),Yes,€200.5M,233049,77+3,77+3,77+3,85+0,83+0,83+0,83+0,85+0,85+3,85+3,85+3,84+3,78+3,78+3,78+3,84+3,66+3,62+3,62+3,62+3,66+3,60+3,49+3,49+3,49+3,60+3
14,218339,Mahmoud Dahoud,24,Germany,Borussia Dortmund,€14.5M,€43K,77,80,2 ★,CM,8,"Jul 1, 2017",2022,5'10,150lbs,129,7,1659,67,58,43,79,59,82,68,53,74,81,78,68,86,77,87,81,71,89,57,73,71,77,66,79,55,63,72,59,52,14,7,9,12,11,Right,4 ★,4 ★,High/ High,Lean (170-185),Yes,€25.7M,218339,68+2,68+2,68+2,75+0,74+0,74+0,74+0,75+0,76+2,76+2,76+2,76+2,77+2,77+2,77+2,76+2,73+2,73+2,73+2,73+2,73+2,70+2,65+2,65+2,65+2,70+2
15,246104,Ryan Gravenberch,18,Netherlands,Ajax,€17.5M,€6K,76,89,1 ★,LCM,8,"Jul 1, 2018",2023,6'3,174lbs,459,27,1567,70,75,58,77,63,,71,56,76,,,76,79,68,,76,71,,,,52,,71,74,58,76,68,69,64,12,8,6,11,12,Right,3 ★,4 ★+1,Medium/ Medium,Lean (185+),Yes,€35.4M,246104,73+2,73+2,73+2,76+0,75+0,75+0,75+0,76+0,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,73+2,72+2,72+2,72+2,73+2,71+2,69+2,69+2,69+2,71+2
16,248695,Wesley Fofana,19,France,Leicester City,€11.5M,€30K,75,85,1 ★,RCB,3,"Oct 2, 2020",2025,6'3,168lbs,44,6,189,39,29,73,68,40,61,39,38,66,68,68,72,61,71,58,48,76,68,76,37,72,79,42,45,48,69,75,77,75,14,12,9,14,6,Right,2 ★,2 ★,Medium/ Medium,Lean (185+),No,€24.2M,248695,55+2,55+2,55+2,56+0,56+0,56+0,56+0,56+0,57+2,57+2,57+2,58+2,62+2,62+2,62+2,58+2,68+2,71+2,71+2,71+2,68+2,70+2,75+2,75+2,75+2,70+2
17,227536,Moussa Marega,29,Mali,FC Porto,€17.5M,€19K,79,79,2 ★,ST,11,"Jan 25, 2016",2021,6'0,183lbs,71,6,238,65,80,78,65,75,64,58,37,52,66,87,90,66,78,50,84,76,93,90,72,89,26,84,67,71,74,51,34,28,14,7,13,11,11,Right,3 ★,3 ★,High/ High,Stocky (170-185),Yes,€35M,227536,78+1,78+1,78+1,73+0,74+0,74+0,74+0,73+0,70+2,70+2,70+2,72+2,65+2,65+2,65+2,72+2,59+2,56+2,56+2,56+2,59+2,57+2,56+2,56+2,56+2,57+2
18,158023,Lionel Messi,33,Argentina,FC Barcelona,€103.5M,€560K,93,93,5 ★,RW,10,"Jul 1, 2004",2021,5'7,159lbs,1240,400,1225,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,32,35,24,6,11,15,14,8,Left,4 ★,4 ★,Medium/ Low,Unique,Yes,€212.2M,158023,89+3,89+3,89+3,92+0,93+0,93+0,93+0,92+0,93+0,93+0,93+0,91+2,87+3,87+3,87+3,91+2,66+3,65+3,65+3,65+3,66+3,62+3,52+3,52+3,52+3,62+3
19,234396,Alphonso Davies,19,Canada,FC Bayern München,€53M,€40K,81,89,1 ★,LB,12,"Jan 1, 2019",2025,6'0,165lbs,872,56,2395,73,67,64,77,59,85,67,44,58,79,96,96,85,79,82,71,77,79,74,63,77,76,75,68,60,74,77,77,79,11,11,6,5,14,Left,4 ★,4 ★,High/ Low,Unique,Yes,€98.1M,234396,75+2,75+2,75+2,79+0,77+0,77+0,77+0,79+0,76+2,76+2,76+2,78+2,74+2,74+2,74+2,78+2,79+2,75+2,75+2,75+2,79+2,79+2,76+2,76+2,76+2,79+2
20,251804,Sergiño Dest,19,United States,FC Barcelona,€13M,€50K,75,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,251854,Pedro González López,17,Spain,FC Barcelona,€17M,€14K,76,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,248243,Eduardo Camavinga,17,France,Stade Rennais FC,€29M,€6K,78,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,256948,Christos Tzolis,18,Greece,PAOK,€4M,€500,70,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,245541,Giovanni Reyna,17,United States,Borussia Dortmund,€13M,€6K,75,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,251517,Joško Gvardiol,18,Croatia,Dinamo Zagreb,€5M,€500,72,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,246669,Bukayo Saka,18,England,Arsenal,€22M,€25K,77,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,229558,Dayot Upamecano,21,France,RB Leipzig,€54M,€41K,81,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,242444,João Félix Sequeira,20,Portugal,Atlético Madrid,€80.5M,€61K,83,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,236610,Moise Kean,20,Italy,Paris Saint-Germain,€21M,€59K,77,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,256630,Florian Wirtz,17,Germany,Bayer 04 Leverkusen,€13M,€7K,75,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,251570,Rayan Cherki,16,France,Olympique Lyonnais,€3.5M,€6K,69,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,245371,Thiago Almada,19,Argentina,Vélez Sarsfield,€10M,€9K,74,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,253004,Anssumane Fati,17,Spain,FC Barcelona,€17M,€24K,76,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,226161,Marcos Llorente Moreno,25,Spain,Atlético Madrid,€55.5M,€78K,84,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,227535,Rodrigo Bentancur,23,Uruguay,Juventus,€27.5M,€67K,79,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,235243,Matthijs de Ligt,20,Netherlands,Juventus,€99M,€81K,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,238857,Wilson Miguéis Manafá Jancó,25,Portugal,FC Porto,€9M,€12K,76,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,255475,Antony Matheus dos Santos,20,Brazil,Ajax,€38.5M,€17K,79,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,198031,Sérgio Miguel Relvas de Oliveira,28,Portugal,FC Porto,€17.5M,€18K,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,246045,Pedro De la Vega,19,Argentina,Club Atlético Lanús,€10M,€11K,74,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,212622,Joshua Kimmich,25,Germany,FC Bayern München,€110M,€150K,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,242434,Curtis Jones,19,England,Liverpool,€4.4M,€25K,71,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,238744,Weston McKennie,21,United States,Juventus,€17M,€20K,76,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,246147,Mason Greenwood,18,England,Manchester United,€24.5M,€33K,77,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,251530,Nuno Albertino Varela Tavares,20,Portugal,SL Benfica,€7M,€7K,73,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,245367,Xavi Simons,17,Netherlands,Paris Saint-Germain,€1.9M,€2K,65,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,251852,Karim Adeyemi,18,Germany,FC Red Bull Salzburg,€3.6M,€6K,69,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,240950,Pedro António Pereira Gonçalves,22,Portugal,Sporting CP,€39.5M,€16K,79,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,231677,Marcus Rashford,22,England,Manchester United,€86.5M,€150K,85,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,237678,Ibrahima Konaté,21,France,RB Leipzig,€29.5M,€33K,78,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,247394,Dejan Kulusevski,20,Sweden,Juventus,€31M,€58K,78,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,246618,Adam Hložek,17,Czech Republic,Sparta Praha,€9.5M,€500,74,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,229261,Denis Zakaria,23,Switzerland,Borussia Mönchengladbach,€42M,€41K,82,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,254796,Noni Madueke,18,England,PSV,€5.5M,€5K,72,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,228702,Frenkie de Jong,23,Netherlands,FC Barcelona,€102M,€210K,86,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,241084,Luis Díaz,23,Colombia,FC Porto,€27.5M,€15K,79,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,206517,Jack Grealish,24,England,Aston Villa,€49.5M,€82K,83,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,212198,Bruno Miguel Borges Fernandes,25,Portugal,Manchester United,€121M,€240K,88,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,181458,Ivan Perišić,31,Croatia,Inter,€21.5M,€105K,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
