,Id,Name,Age,Nationality,Club,Value,Wage,Overall,Potential
115,234906,Houssem Aouar,22,France,Olympique Lyonnais,€48.5M,€70K,82,88
116,235243,Matthijs de Ligt,20,Netherlands,Juventus,€99M,€81K,85,92
117,235353,Ismaïla Sarr,22,Senegal,Watford,€23.5M,€18K,77,86
118,238074,Reece James,20,England,Chelsea,€29.5M,€53K,78,86
119,188545,Robert Lewandowski,31,Poland,FC Bayern München,€124.5M,€270K,92,92
120,226110,Nicolas Pépé,25,Ivory Coast,Arsenal,€28M,€84K,80,83
121,243812,Rodrygo Silva de Goes,19,Brazil,Real Madrid,€38M,€90K,79,90
122,247263,Edmond Tapsoba,21,Burkina Faso,Bayer 04 Leverkusen,€40M,€44K,80,87
123,246469,Agustín Urzi,20,Argentina,Club Atlético Banfield,€5.5M,€9K,72,87
124,234378,Declan Rice,21,England,West Ham United,€31M,€33K,80,86
125,236610,Moise Kean,20,Italy,Paris Saint-Germain,€21M,€59K,77,84
126,220018,Ante Rebić,26,Croatia,Milan,€21M,€48K,79,80
127,237383,Alessandro Bastoni,21,Italy,Inter,€22M,€52K,77,86
128,235212,Achraf Hakimi,21,Morocco,Inter,€56M,€90K,83,88
129,243057,Neco Williams,19,Wales,Liverpool,€3M,€13K,68,85
130,244778,Francisco Mota Castro Trincão,20,Portugal,FC Barcelona,€23M,€95K,77,87
131,251566,Gabriel Teodoro Martinelli Silva,19,Brazil,Arsenal,€10M,€38K,74,86
132,243576,Pedro Antonio Porro Sauceda,20,Spain,Sporting CP,€29.5M,€69K,78,87
133,248695,Wesley Fofana,19,France,Leicester City,€15M,€32K,76,85
134,226754,Ismaël Bennacer,22,Algeria,Milan,€15M,€29K,77,82
135,243414,Brandon Williams,19,England,Manchester United,€11.5M,€40K,75,83
136,243780,Kangin Lee,19,Korea Republic,Valencia CF,€9M,€18K,74,82
137,245155,Mohammed Kudus,19,Ghana,Ajax,€23M,€10K,77,86
138,246420,Jérémy Doku,18,Belgium,Stade Rennais FC,€7M,€15K,73,86
139,211117,Dele Alli,24,England,Tottenham Hotspur,€30M,€82K,80,84
140,252145,Nuno Alexandre Tavares Mendes,18,Portugal,Sporting CP,€15M,€4K,76,86
141,241496,Timothy Weah,20,United States,LOSC Lille,€5M,€19K,72,81
142,235735,Ethan Ampadu,19,Wales,Sheffield United,€2.5M,€6K,67,84
143,239231,Marc Cucurella Saseta,21,Spain,Getafe CF,€41.5M,€28K,81,87
144,240690,Nicolás González,22,Argentina,VfB Stuttgart,€21.5M,€25K,77,84
145,216388,Allan Saint-Maximin,23,France,Newcastle United,€27.5M,€41K,79,85
146,226790,Wilfred Ndidi,23,Nigeria,Leicester City,€55M,€95K,84,88
147,233306,Dean Henderson,23,England,Manchester United,€36M,€70K,80,87
148,241852,Moussa Diaby,20,France,Bayer 04 Leverkusen,€51M,€60K,81,88
149,259419,Takuhiro Nakai,16,Japan,Real Madrid,€1.2M,€3K,62,86
150,243952,Andriy Lunin,21,Ukraine,Real Madrid,€11M,€50K,75,86
151,247649,Jarrad Branthwaite,18,England,Blackburn Rovers,€1.9M,€5K,65,85
152,227796,Christian Pulisic,21,United States,Chelsea,€41.5M,€83K,81,87
153,255257,Joelson Augusto Mendes Mango,17,Portugal,Sporting CP,€3.5M,€1K,69,87
154,210514,João Pedro Cavaco Cancelo,26,Portugal,Manchester City,€51M,€155K,84,87
155,242429,Liberato Cacace,19,New Zealand,Sint-Truidense VV,€6.5M,€6K,73,84
156,247851,Bruno Guimarães Moura,22,Brazil,Olympique Lyonnais,€27M,€47K,78,85
157,254247,Mostafa Mohamed,22,Egypt,Galatasaray SK,€8.5M,€47K,74,81
158,195864,Paul Pogba,27,France,Manchester United,€77.5M,€190K,86,87
159,202556,Memphis Depay,26,Netherlands,Olympique Lyonnais,€50.5M,€105K,84,85
160,232104,Daniel James,22,Wales,Manchester United,€12M,€76K,76,82
161,240709,Ridle Baku,22,Germany,VfL Wolfsburg,€22.5M,€34K,77,85
162,247106,Alexander Bernabei,19,Argentina,Club Atlético Lanús,€3.6M,€5K,70,84
163,247204,Emerson Leite De Souza,21,Brazil,Real Betis,€27M,€17K,78,85
164,253283,Facundo Pellistri,18,Uruguay,Deportivo Alavés,€4.8M,€19K,71,87
165,254544,Reinier Jesus Carvalho,18,Brazil,Borussia Dortmund,€4.4M,€30K,71,85
166,212188,Timo Werner,24,Germany,Chelsea,€58.5M,€125K,84,87
167,221479,Dominic Calvert-Lewin,23,England,Everton,€41M,€90K,81,87
168,229906,Leon Bailey,22,Jamaica,Bayer 04 Leverkusen,€44.5M,€75K,82,86
169,241461,Ferran Torres García,20,Spain,Manchester City,€46.5M,€100K,80,88
170,242664,Alexis Saelemaekers,21,Belgium,Milan,€12M,€26K,76,82
171,253149,Jeremie Frimpong,19,Netherlands,Bayer 04 Leverkusen,€4.3M,€16K,71,84
172,231281,Trent Alexander-Arnold,21,England,Liverpool,€114M,€110K,87,92
173,211110,Paulo Dybala,26,Argentina,Juventus,€95M,€160K,87,88
174,222077,Manuel Locatelli,22,Italy,Sassuolo,€31M,€32K,80,86
175,238460,Rhian Brewster,20,England,Sheffield United,€3.9M,€16K,70,84
176,241721,Rafael da Conceição Leão,21,Portugal,Milan,€12.5M,€28K,75,83
177,189242,Philippe Coutinho Correia,28,Brazil,FC Barcelona,€36.5M,€190K,83,83
178,230829,Alan Mozo,23,Mexico,U.N.A.M.,€9M,€10K,74,83
179,216393,Youri Tielemans,23,Belgium,Leicester City,€49.5M,€95K,83,86
180,231943,Richarlison de Andrade,23,Brazil,Everton,€41M,€90K,81,87
181,239053,Federico Valverde,21,Uruguay,Real Madrid,€58M,€135K,83,89
182,228941,André Miguel Valente da Silva,24,Portugal,Eintracht Frankfurt,€40M,€40K,82,84
183,245279,Sergio Reguilón Rodríguez,23,Spain,Tottenham Hotspur,€43M,€85K,82,87
184,246682,Karamoko Dembélé,17,England,Celtic,€1.2M,€1K,63,82
185,236792,Tomáš Souček,25,Czech Republic,West Ham United,€38.5M,€50K,82,86
186,210413,Alessio Romagnoli,25,Italy,Milan,€43M,€51K,83,86
187,223697,Robin Gosens,25,Germany,Atalanta,€40.5M,€74K,83,83
188,245992,Billy Gilmour,19,Scotland,Chelsea,€4.4M,€25K,71,86
189,192387,Ciro Immobile,30,Italy,Lazio,€78M,€125K,87,87
190,247394,Dejan Kulusevski,20,Sweden,Juventus,€31M,€58K,78,88
191,211300,Anthony Martial,24,France,Manchester United,€52.5M,€140K,83,87
192,231352,Tammy Abraham,22,England,Chelsea,€29M,€77K,78,85
193,235569,Tanguy Ndombele,23,France,Tottenham Hotspur,€51.5M,€88K,81,88
194,194765,Antoine Griezmann,29,France,FC Barcelona,€68M,€270K,86,86
195,230142,Mikel Oyarzabal Ugarte,23,Spain,Real Sociedad,€63.5M,€47K,84,89
196,230621,Gianluigi Donnarumma,21,Italy,Milan,€88.5M,€37K,86,92
197,230767,Renato Júnior Luz Sanches,22,Portugal,LOSC Lille,€28M,€36K,79,85
198,254482,Ricky-Jade Jones,17,England,Peterborough United,€700K,€500,59,82
199,176580,Luis Suárez,33,Uruguay,Atlético Madrid,€51M,€115K,87,87
200,221363,Donny van de Beek,23,Netherlands,Manchester United,€46M,€115K,82,87
201,203574,John Stones,26,England,Manchester City,€30M,€120K,81,84
202,226568,Ianis Hagi,21,Romania,Rangers FC,€7M,€33K,73,82
203,236572,Owen Wijndal,20,Netherlands,AZ Alkmaar,€26.5M,€9K,78,85
204,240679,Teun Koopmeiners,22,Netherlands,AZ Alkmaar,€24.5M,€12K,79,84
205,243828,Matthew Longstaff,20,England,Newcastle United,€5.5M,€20K,72,85
206,192985,Kevin De Bruyne,29,Belgium,Manchester City,€127.5M,€370K,91,91
207,225953,Steven Bergwijn,22,Netherlands,Tottenham Hotspur,€47M,€95K,82,87
208,233934,Aaron Ramsdale,22,England,Sheffield United,€5.5M,€18K,74,80
209,237238,Scott McTominay,23,Scotland,Manchester United,€29M,€90K,80,85
210,183277,Eden Hazard,29,Belgium,Real Madrid,€78M,€290K,87,87
211,231340,Gonzalo Montiel,23,Argentina,River Plate,€27M,€15K,78,85
212,240926,Nathaniel Phillips,23,England,Liverpool,€2.2M,€22K,68,75
213,188567,Pierre-Emerick Aubameyang,31,Gabon,Arsenal,€57.5M,€160K,86,86
214,241202,Patson Daka,21,Zambia,FC Red Bull Salzburg,€15.5M,€22K,76,83
215,239367,Robin Hack,21,Germany,1. FC Nürnberg,€9.5M,€9K,74,84
216,240699,Nicolás De la Cruz,23,Uruguay,River Plate,€28M,€17K,78,85
217,242656,Illan Meslier,20,France,Leeds United,€6.5M,€32K,73,85
218,193165,Jesús Corona,27,Mexico,FC Porto,€45M,€25K,84,84
219,222331,Lukas Klostermann,24,Germany,RB Leipzig,€29M,€46K,80,85
220,231410,Brahim Díaz,20,Spain,Milan,€12.5M,€77K,75,86
221,238616,Pedro Lomba Neto,20,Portugal,Wolverhampton Wanderers,€23M,€59K,77,85
222,239901,Saša Kalajdžić,22,Austria,VfB Stuttgart,€4.8M,€17K,72,79
223,245278,Tomás Franco Tavares,19,Portugal,Farense,€7M,€5K,73,85
224,222492,Leroy Sané,24,Germany,FC Bayern München,€73.5M,€100K,85,88
225,229880,Aaron Wan-Bissaka,22,England,Manchester United,€52M,€115K,83,88
226,235883,Ryan Sessegnon,20,England,TSG 1899 Hoffenheim,€9M,€41K,74,85
227,258826,Devyne Rensch,17,Netherlands,Ajax,€2.9M,€500,68,84
228,245902,Troy Parrott,18,Republic of Ireland,Ipswich Town,€2.2M,€9K,66,84
229,184941,Alexis Sánchez,31,Chile,Inter,€18M,€105K,80,80
230,201519,Jordan Veretout,27,France,Roma,€23M,€54K,80,82
231,203376,Virgil van Dijk,28,Netherlands,Liverpool,€113M,€210K,90,91
232,209331,Mohamed Salah,28,Egypt,Liverpool,€120.5M,€250K,90,90
233,223848,Sergej Milinković-Savić,25,Serbia,Lazio,€74.5M,€95K,85,89
234,232363,Milan Škriniar,25,Slovakia,Inter,€67M,€130K,85,89
235,236007,Ezequiel Barco,21,Argentina,Atlanta United,€9.5M,€6K,74,85
236,251809,Sven Botman,20,Netherlands,LOSC Lille,€15.5M,€21K,76,84
237,228881,Davide Calabria,23,Italy,Milan,€18.5M,€31K,78,82
238,228618,Ferland Mendy,25,France,Real Madrid,€49.5M,€160K,83,88
239,190460,Christian Eriksen,28,Denmark,Inter,€36.5M,€130K,83,83
240,228092,Sander Berge,22,Norway,Sheffield United,€21M,€30K,78,84
241,234742,Harvey Barnes,22,England,Leicester City,€32.5M,€84K,80,85
242,215914,N'Golo Kanté,29,France,Chelsea,€78M,€190K,88,88
243,260910,Shola Shoretire,16,England,Manchester United,€775K,€2K,60,84
244,243715,William Saliba,19,France,OGC Nice,€8.5M,€28K,74,85
245,213648,Pierre-Emile Højbjerg,24,Denmark,Tottenham Hotspur,€40M,€85K,82,86
246,244260,Daniel Olmo Carvajal,22,Spain,RB Leipzig,€39.5M,€48K,79,87
247,256781,Luca Netz,17,Germany,Hertha BSC,€1.7M,€500,65,84
248,153079,Sergio Agüero,32,Argentina,Manchester City,€74M,€290K,88,88
249,180403,Willian Borges da Silva,31,Brazil,Arsenal,€14.5M,€90K,79,79
250,226226,Giovani Lo Celso,24,Argentina,Tottenham Hotspur,€46M,€95K,82,87
251,236401,Noussair Mazraoui,22,Morocco,Ajax,€25M,€16K,79,84
252,224458,Diogo José Teixeira da Silva,23,Portugal,Liverpool,€46M,€105K,82,87
253,225100,Joe Gomez,23,England,Liverpool,€49.5M,€95K,83,88
254,233927,Lucas Tolentino Coelho de Lima,22,Brazil,Olympique Lyonnais,€21.5M,€52K,78,83
255,180175,Alexandre Rodrigues da Silva,30,Brazil,Orlando City SC,€14M,€12K,78,78
256,208830,Jamie Vardy,33,England,Leicester City,€51M,€170K,87,87
257,246145,Ignacio Aliseda,20,Argentina,Chicago Fire,€3.8M,€4K,70,84
258,253012,Lautaro Morales,20,Argentina,Club Atlético Lanús,€4.9M,€7K,72,85
259,201942,Roberto Firmino Barbosa de Oliveira,28,Brazil,Liverpool,€69.5M,€175K,86,86
260,225263,Duje Ćaleta-Car,23,Croatia,Olympique de Marseille,€25M,€35K,79,85
261,232432,Luka Jović,22,Serbia,Eintracht Frankfurt,€33M,€140K,80,85
262,238067,Nicolò Zaniolo,20,Italy,Roma,€16.5M,€33K,76,86
263,246107,Matías Palacios,18,Argentina,FC Basel 1893,€1.8M,€2K,65,84
264,259694,Óscar Mingueza García,21,Spain,FC Barcelona,€2.4M,€24K,67,80
265,176635,Mesut Özil,31,Germany,Fenerbahçe SK,€17.5M,€74K,80,80
266,204838,Raúl Jiménez,29,Mexico,Wolverhampton Wanderers,€42M,€140K,84,84
267,232580,Gabriel dos S. Magalhães,22,Brazil,Arsenal,€25.5M,€65K,79,85
268,207494,Jesse Lingard,27,England,West Ham United,€11M,€95K,77,77
269,220814,Lucas Hernández,24,France,FC Bayern München,€46M,€77K,83,86
270,233096,Denzel Dumfries,24,Netherlands,PSV,€26.5M,€19K,80,83
271,220697,James Maddison,23,England,Leicester City,€43.5M,€89K,82,86
272,238476,Dan-Axel Zagadou,21,France,Borussia Dortmund,€33M,€38K,79,86
273,197445,David Alaba,28,Austria,FC Bayern München,€31.5M,€95K,83,83
274,201535,Raphaël Varane,27,France,Real Madrid,€57.5M,€200K,85,87
275,225375,Konrad Laimer,23,Austria,RB Leipzig,€33.5M,€49K,81,85
276,238274,Florinel Coman,22,Romania,FCSB (Steaua),€9.5M,€15K,74,84
277,241095,Nikola Vlašić,22,Croatia,PFC CSKA Moscow,€34M,€47K,80,86
278,245152,Santiago Giménez,19,Mexico,Cruz Azul,€2.2M,€10K,66,83
279,201024,Kalidou Koulibaly,29,Senegal,Napoli,€76.5M,€140K,88,88
280,246672,Ander Barrenetxea,18,Spain,Real Sociedad,€7M,€9K,73,85
281,188350,Marco Reus,31,Germany,Borussia Dortmund,€35M,€86K,84,84
282,228093,Marcus Thuram,22,France,Borussia Mönchengladbach,€34M,€39K,80,86
283,220651,José Ángel Esmoris Tasende,23,Spain,RB Leipzig,€40.5M,€110K,82,86
284,222404,Mathias Normann,24,Norway,,€0,€0,76,82
285,232487,Wataru Endo,27,Japan,VfB Stuttgart,€10M,€24K,77,77
286,242516,Cody Gakpo,21,Netherlands,PSV,€21.5M,€14K,77,84
287,253102,Adil Aouchiche,17,France,AS Saint-Étienne,€4.8M,€3K,72,83
288,230666,Gabriel Fernando de Jesus,23,Brazil,Manchester City,€52.5M,€150K,83,87
289,232411,Christopher Nkunku,22,France,RB Leipzig,€34M,€51K,80,86
290,243854,Mohamed Simakan,20,France,RC Strasbourg Alsace,€8.5M,€16K,74,84
291,231448,Reiss Nelson,20,England,Arsenal,€5M,€39K,72,82
292,209989,Thomas Partey,27,Ghana,Arsenal,€48M,€120K,84,85
293,222716,Everton Sousa Soares,24,Brazil,SL Benfica,€40.5M,€17K,81,87
294,242602,Josha Vagnoman,19,Germany,Hamburger SV,€3.2M,€4K,69,83
295,227678,Ezri Konsa,22,England,Aston Villa,€15.5M,€40K,76,84
296,243392,Rabbi Matondo,19,Wales,Stoke City,€3.8M,€8K,70,83
297,225850,Presnel Kimpembe,24,France,Paris Saint-Germain,€49.5M,€82K,83,88
298,237995,Diego Lainez,20,Mexico,Real Betis,€5M,€12K,72,83
299,240130,Éder Gabriel Militão,22,Brazil,Real Madrid,€40M,€115K,80,87
300,241184,Héctor Junior Firpo Adamés,23,Spain,FC Barcelona,€26M,€110K,79,85
301,245388,Jean-Clair Todibo,20,France,OGC Nice,€11.5M,€68K,75,84
302,205175,Arkadiusz Milik,26,Poland,Olympique de Marseille,€28M,€75K,80,83
303,235619,Marcus Edwards,21,England,Vitória Guimarães,€21.5M,€10K,77,84
304,235805,Federico Chiesa,22,Italy,Juventus,€23M,€50K,78,84
305,236496,Mattéo Guendouzi,21,France,Hertha BSC,€22.5M,€46K,77,86
306,251810,Brian Brobbey,18,Netherlands,Ajax,€2.8M,€3K,68,83
307,252038,Romário Manuel Silva Baró,20,Portugal,FC Porto,€7.5M,€8K,73,85
308,252489,Marco Kana,17,Belgium,RSC Anderlecht,€2M,€500,66,84
309,143076,Alejandro Gómez,32,Argentina,Sevilla FC,€54M,€55K,86,86
310,155862,Sergio Ramos García,34,Spain,Real Madrid,€33.5M,€300K,89,89
311,198710,James Rodríguez,28,Colombia,Everton,€30.5M,€115K,82,82
312,232999,Tyler Adams,21,United States,RB Leipzig,€16M,€29K,76,84
313,235844,Edson Álvarez,22,Mexico,Ajax,€8.5M,€12K,75,81
314,244621,Carlos Vinícius Alves Morais,25,Brazil,Tottenham Hotspur,€21M,€16K,78,83
315,246646,Maxence Caqueret,20,France,Olympique Lyonnais,€23M,€42K,77,85
316,186942,İlkay Gündoğan,29,Germany,Manchester City,€41M,€180K,84,84
317,205988,Luke Shaw,24,England,Manchester United,€32.5M,€95K,81,84
318,241084,Luis Díaz,23,Colombia,FC Porto,€27.5M,€15K,79,85
319,242075,Josh Sargent,20,United States,SV Werder Bremen,€3.9M,€12K,70,82
320,244288,Adam Idah,19,Republic of Ireland,Norwich City,€1.9M,€2K,65,82
321,244369,Viktor Tsygankov,22,Ukraine,Dynamo Kyiv,€34M,€1K,80,86
322,245158,Luis Javier Suárez,22,Colombia,Granada CF,€17M,€24K,76,85
323,208722,Sadio Mané,28,Senegal,Liverpool,€120.5M,€250K,90,90
324,225793,Ben Godfrey,22,England,Everton,€9M,€46K,74,84
325,233848,Jens Petter Hauge,20,Norway,Milan,€12.5M,€25K,75,84
326,241487,Jesus Ferreira,19,United States,FC Dallas,€2.9M,€2K,68,81
327,257270,Timothée Pembélé,17,France,Paris Saint-Germain,€2M,€750,66,83
328,210411,Otávio Edmilson da Silva Monteiro,25,Brazil,FC Porto,€31M,€19K,81,82
329,229668,Mario Hermoso Canseco,25,Spain,Atlético Madrid,€36M,€59K,82,85
330,234060,Yangel Herrera,22,Venezuela,Granada CF,€23.5M,€86K,77,85
